Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,Release Year,Recession data,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
The Big Parade,11000000,22000000,,245000,19/11/1925,1925,0,,,MGM,Based on Play,Drama,,King Vidor,100,8.4,2600
The Broadway Melody,2800000,4358000,,379000,01/02/1929,1929,0,,,MGM,Original Screenplay,Musical,,,38,6.7,2017
Mata Hari,900000,900000,,558000,26/06/1931,1931,0,,,MGM,,,,,,2.2,376
She Done Him Wrong,2000000,2000000,,200000,09/02/1933,1933,0,,,,,,,,100,6.7,1795
42nd Street,2300000,2300000,,439000,09/03/1933,1933,0,,,Warner Bros.,Based on Book/Short Story,Musical,,,95,7.7,4263
King Kong (1933),10000000,10000000,,670000,07/04/1933,1933,0,,100,,,,,,,,
It Happened One Night,2500000,2500000,,325000,23/02/1934,1934,0,,,,,Romantic Comedy,,Frank Capra,97,8.3,25074
Modern Times,163245,163245,,1500000,05/02/1936,1936,0,,,Kino International,,Comedy,,,100,8.5,35773
Snow White and the Seven Dwarfs,184925485,184925485,,1488000,21/12/1937,1937,0,,,Walt Disney Pictures,Traditional/Legend/Fairytale,Musical,Fantasy,,97,7.8,38141
Alexander's Ragtime Band,4000000,4000000,,2000000,16/05/1938,1938,0,,,20th Century Fox,Original Screenplay,Drama,,,,,
You Can't Take It With You,4000000,4000000,,1644000,23/08/1938,1938,0,,,,,,,Frank Capra,96,8,8597
The Wizard of Oz,28202232,28202232,,2777000,25/08/1939,1939,0,G,103,Warner Bros.,Based on Book/Short Story,Musical,Fantasy,King Vidor,,8.3,102795
Mr. Smith Goes To Washington,9000000,9000000,,1500000,19/10/1939,1939,0,,,Sony/Columbia,Original Screenplay,Drama,,Frank Capra,97,8.2,33315
Gone with the Wind,198680470,390525192,,3900000,15/12/1939,1939,0,G,222,MGM,Based on Book/Short Story,Drama,Historical Fiction,George Cukor,97,8.2,78947
Rebecca,6000000,6000000,,1288000,27/03/1940,1940,0,,,MGM,Based on Book/Short Story,Drama,,Alfred Hitchcock,100,8.4,35429
Boom Town,9172000,9172000,,2000000,30/08/1940,1940,0,,,MGM,Original Screenplay,,,,,7.1,1115
Fantasia,83320000,83320000,,2280000,13/11/1940,1940,0,,,Walt Disney Pictures,Compilation,Musical,Multiple Creative Types,,98,7.8,29914
Cat People,4000000,8000000,,134000,16/11/1942,1942,0,,,RKO Radio Pictures,Original Screenplay,Drama,Fantasy,,91,5.9,6791
Casablanca,10462500,10462500,,950000,23/01/1943,1942,0,,,Warner Bros.,Based on Play,Drama,Historical Fiction,Michael Curtiz,97,8.8,167939
A Guy Named Joe,5363000,5363000,,2627000,24/12/1943,1943,0,,,MGM,Original Screenplay,Drama,,,,6.9,869
Bathing Beauty,3500000,3500000,,2361000,27/04/1944,1944,0,,,MGM,Original Screenplay,Musical,,,,6.2,487
Wilson,2000000,2000000,,5200000,01/08/1944,1944,0,,,,,,,,,7,451
The Valley of Decision,9132000,9132000,,2160000,03/05/1945,1945,0,,,,,,,,,7.3,682
Spellbound,7000000,7000000,,1500000,31/10/1945,1945,0,G,,ThinkFilm,,,,Alfred Hitchcock,87,7.7,14665
The Lost Weekend,11000000,11000000,,1250000,29/11/1945,1945,0,,,,,,,Billy Wilder,100,8.2,11864
Notorious,24464742,24464742,,2000000,06/09/1946,1946,0,,,,,,,Alfred Hitchcock,97,6.3,9811
The Best Years of Our Lives,23600000,23600000,,2100000,21/11/1946,1946,0,,,RKO Radio Pictures,Based on Book/Short Story,Drama,,William Wyler,97,8.2,17338
It's a Wonderful Life,6600000,6600000,19339789,3180000,20/12/1946,1946,0,,,,,,,Frank Capra,94,8.7,101499
Duel in the Sun,20400000,20400000,,6000000,31/12/1946,1946,0,,,,,,,,86,7,2906
Gentleman's Agreement,7800000,7800000,,2000000,11/11/1947,1947,0,,,,,,,Elia Kazan,83,7.4,4637
The Pirate,2956000,2956000,,3700000,20/05/1948,1948,0,,,,,,,Vincente Minnelli,71,7.1,1635
Red River,9012000,9012000,,3000000,17/09/1948,1948,0,,,,,,,Howard Hawks,100,7.8,10629
She Wore a Yellow Ribbon,5400000,5400000,,1600000,22/10/1949,1949,0,,,,,,,John Ford,100,7.3,5825
Sands of Iwo Jima,7800000,7800000,,1000000,14/12/1949,1949,0,,,,,,,,100,7.1,4160
Cinderella,85000000,85000000,,2900000,15/02/1950,1950,0,,,Walt Disney Pictures,Traditional/Legend/Fairytale,Drama,Fantasy,,92,5.1,373
Annie Get Your Gun,8000000,8000000,,3768785,17/05/1950,1950,0,,,MGM,Based on Book/Short Story,Musical,,,100,7.1,1326
Quo Vadis?,30000000,30000000,,8250000,23/02/1951,1951,0,,,,,,,,88,5.8,898
Strangers on a Train,7000000,7000000,,1200000,03/07/1951,1951,0,PG,,Warner Bros.,,,,Alfred Hitchcock,98,8.3,34284
A Streetcar Named Desire,8000000,8000000,,1800000,18/09/1951,1951,0,,,Warner Bros.,Based on Play,,,Elia Kazan,,8.1,33781
Show Boat,11000000,11000000,,2300000,24/09/1951,1951,0,,,,,,,,89,6.9,1788
The Greatest Show on Earth,36000000,36000000,,4000000,10/01/1952,1952,0,,,,,,,,41,6.8,4264
Singin' in the Rain,3600000,3600000,,2540000,10/04/1952,1952,0,,,MGM,,,,Stanley Donen,100,8.4,55352
High Noon,8000000,8000000,,730000,30/07/1952,1952,0,,,,,,,Fred Zinnemann,95,8.3,34163
Niagara,2500000,2500000,,1250000,21/01/1953,1953,0,,,20th Century Fox,,,,,,7,4698
Peter Pan,87400000,87400000,90536550,4000000,05/02/1953,1953,0,PG,,RKO Radio Pictures,Based on Book/Short Story,Adventure,Fantasy,,83,7.1,16894
House of Wax,23800000,23800000,,658000,10/04/1953,1953,0,R,,,,,,,94,5.4,32159
"The Beast from 20,000 Fathoms",5000000,5000000,,210000,13/06/1953,1953,0,,,Warner Bros.,Based on Book/Short Story,,,,90,,
From Here to Eternity,30500000,30500000,,1650000,05/08/1953,1953,0,,,,,,,Fred Zinnemann,86,7.9,15115
The Robe,36000000,36000000,,5000000,16/09/1953,1953,0,,,,,,,,38,6.7,2913
On the Waterfront,9600000,9600000,,910000,28/07/1954,1954,0,,,,,,,Elia Kazan,100,8.4,41162
The Egyptian,15000000,15000000,,5000000,24/08/1954,1954,0,,,,,,,Michael Curtiz,,6.2,1097
"20,000 Leagues Under the Sea",28200000,28200000,,5000000,23/12/1954,1954,0,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,,Richard Fleischer,92,,
The Trouble With Harry,7000000,7000000,,1200000,03/10/1955,1955,0,,,Paramount Pictures,,,,Alfred Hitchcock,89,7.2,11580
Trapeze,14400000,14400000,,4000000,30/05/1956,1956,0,,,,,,,,60,6.7,1570
Moby Dick,10400000,10400000,,4500000,27/06/1956,1956,0,,,,Based on Book/Short Story,Adventure,Historical Fiction,John Huston,67,7.4,5969
War and Peace,12500000,12500000,,6000000,21/08/1956,1956,0,PG,,,,,,King Vidor,50,6.8,2923
The Ten Commandments,80000000,80000000,,13500000,05/10/1956,1956,0,,,,,,,,90,2.5,1677
Around the World in 80 Days,42000000,42000000,,6000000,17/10/1956,1956,0,PG,,United Artists,Based on Book/Short Story,Adventure,,,73,5.6,21516
Love Me Tender,9000000,9000000,,1000000,15/11/1956,1956,0,,,,,,,,38,5.9,1301
Shichinin no samurai,271736,271736,,500000,19/11/1956,1956,0,,,Cowboy Pictures,Original Screenplay,Action,Historical Fiction,Akira Kurosawa,,8.8,96698
The Wrong Man,2000000,2000000,,1200000,23/12/1956,1956,0,,,Warner Bros.,,,,Alfred Hitchcock,89,7.5,7531
A Farewell To Arms,11000000,11000000,,5000000,14/12/1957,1957,0,,,,,,,John Huston,,6.6,1655
The Bridge on the River Kwai,33300000,33300000,,3000000,18/12/1957,1957,0,,,Sony/Columbia,Based on Book/Short Story,Drama,,David Lean,95,8.4,58641
Cat on a Hot Tin Roof,17570324,17570324,,3000000,20/09/1958,1958,0,,,MGM,Based on Play,Drama,Contemporary Fiction,Richard Brooks,100,8,14540
Solomon and Sheba,11000000,11000000,,5000000,01/01/1959,1959,0,,,,,,,King Vidor,,6,915
Some Like it Hot,25000000,25000000,,2883848,29/03/1959,1959,0,,,,,,,Billy Wilder,97,8.3,67157
The Nun's Story,12800000,12800000,,3500000,18/07/1959,1959,0,,,,,,,Fred Zinnemann,93,7.5,3313
Ben-Hur,73000000,73000000,,15000000,18/11/1959,1959,0,,,MGM,Based on Book/Short Story,Adventure,,William Wyler,91,8.2,58510
Ben-Hur,9000000,9000000,,3900000,18/11/1959,1959,0,,,MGM,Based on Book/Short Story,Adventure,,,,8.2,58510
Exodus,21750000,21750000,,4000000,01/01/1960,1960,0,,,,,,,,67,6.8,3546
The Apartment,18600000,24600000,,3000000,15/06/1960,1960,0,,,United Artists,Original Screenplay,Romantic Comedy,,Billy Wilder,91,8.4,36485
Elmer Gantry,10400000,10400000,,3000000,07/07/1960,1960,0,,,,,,,Richard Brooks,96,7.8,4185
Spartacus,30000000,60000000,,12000000,07/10/1960,1960,0,,,Universal,Based on Book/Short Story,Action,Dramatization,Stanley Kubrick,96,8,50856
The Alamo,7900000,7900000,,12000000,24/10/1960,1960,0,PG-13,,United Artists,Original Screenplay,Western,Historical Fiction,John Wayne,54,5.9,10063
The Misfits,8200000,8200000,,4000000,01/02/1961,1961,0,,,,,,,John Huston,100,7.4,6351
The Hustler,7600000,7600000,,2000000,25/09/1961,1961,0,,,,,,,,97,8.1,25385
West Side Story,43700000,43700000,,6000000,18/10/1961,1961,0,,,,,,,Robert Wise,92,7.7,29488
Pocketful of Miracles,5000000,5000000,,2900000,19/12/1961,1961,0,,,,,,,Frank Capra,63,7.2,2365
Lolita (1962),9250000,9250000,,2000000,01/01/1962,1962,0,,,,,Drama,,Stanley Kubrick,,,
The Man Who Shot Liberty Valance,8000000,8000000,,3200000,01/01/1962,1962,0,,,,,,,John Ford,97,8.1,22681
State Fair,3500000,3500000,,4500000,09/03/1962,1962,1,,,,,,,,14,5.7,436
